;F.O.;Tiempo (s);Dev (%);#Best;
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp95pmed11v3.10.2.txt;9115,23214;4,1720605;0,03644;0;8970,19971;4,5491392;0,01995;0;8794,72874;22,9891540;0,00000;1;;8794,72874
Grasp3pmed1v3.10.2.txt;8122,63240;0,4442524;0,08611;0;7715,12843;0,4897502;0,03162;0;7478,65148;2,4232858;0,00000;1;;7478,65148
Grasp87pmed6v3.10.2.txt;9533,67942;1,6930547;0,05069;0;9409,01876;2,0028487;0,03695;0;9073,76412;10,4312162;0,00000;1;;9073,76412
Grasp46pmed7v3.10.2.txt;8365,72465;7,7088622;0,07605;0;8028,08920;8,6439432;0,03262;0;7774,49157;35,2338075;0,00000;1;;7774,49157
Grasp33pmed2v3.10.2.txt;6442,64930;1,5365405;0,11270;0;6035,83430;1,7518904;0,04244;0;5790,08379;6,2482419;0,00000;1;;5790,08379
Grasp19pmed3v3.10.2.txt;6589,26257;1,7565303;0,04166;0;6345,61905;2,0673264;0,00314;0;6325,76154;6,9050700;0,00000;1;;6325,76154
Grasp73pmed4v3.10.2.txt;6288,20643;8,1946423;0,03395;0;6093,27810;9,1949480;0,00190;0;6081,74872;19,7162539;0,00000;1;;6081,74872
Grasp56pmed5v3.10.2.txt;4605,87437;24,8863141;0,11806;0;4229,50159;26,7272135;0,02669;0;4119,53083;44,6691554;0,00000;1;;4119,53083
Grasp56pmed8v3.10.2.txt;7873,80568;35,3667390;0,06701;0;7639,53131;38,1668355;0,03526;0;7379,31013;95,6834671;0,00000;1;;7379,31013
Grasp85pmed9v3.10.2.txt;6443,03377;237,0909206;0,08562;0;6161,08893;247,2565509;0,03811;0;5934,88947;384,5896108;0,00000;1;;5934,88947
