;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
pmed11v3.10.2.txt;12196,22513;0,0012091;0,11850;0;10904,11299;0,0681220;0,00000;1;;10904,11299
Ran0pmed11v3.10.2.txt;12796,38656;0,0002677;0,22207;0;10471,11227;0,0060763;0,00000;1;;10471,11227
Ran1pmed11v3.10.2.txt;13709,94695;0,0002584;0,30995;0;10466,01089;0,0065608;0,00000;1;;10466,01089
Ran2pmed11v3.10.2.txt;13277,60221;0,0003043;0,22775;0;10814,60853;0,0057199;0,00000;1;;10814,60853
Ran3pmed11v3.10.2.txt;14108,74502;0,0002596;0,17836;0;11973,18524;0,0032816;0,00000;1;;11973,18524
Ran4pmed11v3.10.2.txt;12412,44686;0,0003889;0,17562;0;10558,20106;0,0068295;0,00000;1;;10558,20106
Ran5pmed11v3.10.2.txt;12490,10306;0,0001650;0,13984;0;10957,74656;0,0044966;0,00000;1;;10957,74656
Ran6pmed11v3.10.2.txt;12659,81644;0,0001770;0,18105;0;10719,15354;0,0048460;0,00000;1;;10719,15354
Ran7pmed11v3.10.2.txt;12472,38606;0,0002256;0,16161;0;10737,19112;0,0094858;0,00000;1;;10737,19112
Ran8pmed11v3.10.2.txt;12467,39517;0,0000934;0,21218;0;10285,11891;0,0019654;0,00000;1;;10285,11891
Ran9pmed11v3.10.2.txt;13415,74704;0,0000796;0,16136;0;11551,78321;0,0006478;0,00000;1;;11551,78321
Ran10pmed11v3.10.2.txt;14204,30588;0,0000494;0,17126;0;12127,33261;0,0005094;0,00000;1;;12127,33261
Ran11pmed11v3.10.2.txt;12167,87292;0,0000728;0,15480;0;10536,76083;0,0049868;0,00000;1;;10536,76083
Ran12pmed11v3.10.2.txt;12155,66810;0,0000735;0,14007;0;10662,20106;0,0012538;0,00000;1;;10662,20106
Ran13pmed11v3.10.2.txt;16383,28468;0,0000626;0,16576;0;14053,69222;0,0007734;0,00000;1;;14053,69222
Ran14pmed11v3.10.2.txt;13083,29500;0,0001005;0,12229;0;11657,70083;0,0013802;0,00000;1;;11657,70083
Ran15pmed11v3.10.2.txt;14705,66757;0,0000631;0,25401;0;11726,89077;0,0008985;0,00000;1;;11726,89077
Ran16pmed11v3.10.2.txt;14984,72298;0,0000616;0,13776;0;13170,33058;0,0006973;0,00000;1;;13170,33058
Ran17pmed11v3.10.2.txt;14363,18533;0,0000754;0,23718;0;11609,61378;0,0010820;0,00000;1;;11609,61378
Ran18pmed11v3.10.2.txt;15303,52830;0,0000876;0,27698;0;11984,18524;0,0011734;0,00000;1;;11984,18524
Ran19pmed11v3.10.2.txt;16000,37477;0,0000597;0,35973;0;11767,35107;0,0009611;0,00000;1;;11767,35107
Ran20pmed11v3.10.2.txt;13881,33765;0,0000708;0,18184;0;11745,52908;0,0011199;0,00000;1;;11745,52908
Ran21pmed11v3.10.2.txt;12537,44595;0,0000699;0,12243;0;11169,92835;0,0023104;0,00000;1;;11169,92835
Ran22pmed11v3.10.2.txt;14482,97434;0,0000846;0,15920;0;12493,98661;0,0008464;0,00000;1;;12493,98661
Ran23pmed11v3.10.2.txt;15838,48073;0,0000801;0,20814;0;13109,77259;0,0007257;0,00000;1;;13109,77259
Ran24pmed11v3.10.2.txt;13940,50806;0,0000617;0,11150;0;12542,11705;0,0007923;0,00000;1;;12542,11705
Ran25pmed11v3.10.2.txt;15314,69671;0,0000605;0,12455;0;13618,46983;0,0008184;0,00000;1;;13618,46983
Ran26pmed11v3.10.2.txt;13359,78792;0,0000565;0,18967;0;11229,80546;0,0008626;0,00000;1;;11229,80546
Ran27pmed11v3.10.2.txt;12446,31957;0,0000932;0,14901;0;10832,18092;0,0010972;0,00000;1;;10832,18092
Ran28pmed11v3.10.2.txt;19927,00220;0,0000617;0,41964;0;14036,69222;0,0007705;0,00000;1;;14036,69222
Ran29pmed11v3.10.2.txt;12852,64177;0,0000609;0,23038;0;10446,11227;0,0010250;0,00000;1;;10446,11227
Ran30pmed11v3.10.2.txt;16312,55190;0,0000583;0,16321;0;14023,69222;0,0005817;0,00000;1;;14023,69222
Ran31pmed11v3.10.2.txt;12074,60793;0,0000724;0,13098;0;10676,20106;0,0011203;0,00000;1;;10676,20106
Ran32pmed11v3.10.2.txt;12969,14175;0,0000580;0,05466;0;12297,00101;0,0007353;0,00000;1;;12297,00101
Ran33pmed11v3.10.2.txt;14723,23788;0,0000572;0,16510;0;12636,91763;0,0006373;0,00000;1;;12636,91763
Ran34pmed11v3.10.2.txt;13154,02218;0,0000604;0,18656;0;11085,82217;0,0029140;0,00000;1;;11085,82217
